text,label
"nausea, fever",0
"headache, dizziness, nausea, shortness of breath",1
fever,0
"runny nose, chills",1
stomach ache,1
"cough, dizziness",1
"cough, dizziness",1
"shortness of breath, fever, sore throat, dizziness, fatigue",0
"dizziness, stomach ache, fever, fatigue, chills",1
dizziness,0
"stomach ache, fever, headache, cough, dizziness",0
"dizziness, chills, shortness of breath, stomach ache, sore throat",1
"fever, cough",2
"loss of appetite, fever, dizziness, chills",0
"shortness of breath, fatigue, headache, stomach ache, fever",1
"loss of appetite, shortness of breath, headache, runny nose",1
"dizziness, sore throat, cough, headache",2
"sore throat, dizziness, runny nose, muscle pain, cough",0
"cough, runny nose, loss of appetite, muscle pain, nausea",0
"muscle pain, shortness of breath",1
"headache, runny nose",0
cough,0
"runny nose, stomach ache",1
"muscle pain, chills",1
"nausea, loss of appetite, runny nose, headache, dizziness",2
"muscle pain, headache, fever",0
"headache, muscle pain, stomach ache",2
"headache, cough",0
"muscle pain, dizziness, cough, stomach ache, sore throat",2
"sore throat, muscle pain, shortness of breath",1
"cough, stomach ache, chills, runny nose",2
"nausea, headache, fever",0
"cough, shortness of breath, chills, fatigue",0
"headache, shortness of breath, nausea",0
"fatigue, chills",2
"runny nose, muscle pain",2
"dizziness, runny nose, sore throat, stomach ache, fatigue",1
"sore throat, fever, chills",0
"sore throat, runny nose, nausea",2
"stomach ache, sore throat",1
"fatigue, nausea",2
"headache, chills, loss of appetite, dizziness, shortness of breath",0
"muscle pain, loss of appetite, cough, dizziness",0
"fatigue, fever, muscle pain, loss of appetite",1
"fatigue, chills, nausea",2
"nausea, cough, chills",2
"muscle pain, chills",0
"dizziness, shortness of breath, muscle pain, headache",1
"dizziness, runny nose, shortness of breath",2
"nausea, chills, cough, headache, fatigue",0
fatigue,1
"nausea, loss of appetite, stomach ache",2
"muscle pain, shortness of breath, loss of appetite, cough, stomach ache",0
"fatigue, nausea, dizziness",0
"fever, nausea, muscle pain, chills",1
dizziness,2
"nausea, chills",2
"stomach ache, cough, fatigue, nausea, muscle pain",0
fatigue,1
"headache, muscle pain, nausea, fever",2
"loss of appetite, stomach ache, muscle pain",1
"chills, shortness of breath",1
"dizziness, sore throat, headache",0
loss of appetite,2
"muscle pain, chills",0
"nausea, chills, sore throat, cough, muscle pain",0
"stomach ache, shortness of breath, fever",2
muscle pain,0
"sore throat, fever",0
shortness of breath,0
"cough, dizziness",1
"dizziness, nausea, stomach ache, runny nose",1
"fever, cough, headache",1
nausea,1
"runny nose, shortness of breath, cough",0
"cough, nausea, dizziness, stomach ache, loss of appetite",0
"stomach ache, sore throat",0
"headache, cough, fatigue, chills, nausea",2
"sore throat, dizziness, runny nose",1
nausea,0
"fever, cough, stomach ache, headache",0
"nausea, stomach ache, chills, fatigue, runny nose",0
muscle pain,0
"headache, stomach ache",1
"loss of appetite, fever",1
fatigue,2
sore throat,2
"headache, dizziness",1
"muscle pain, loss of appetite",1
"dizziness, muscle pain",2
"nausea, muscle pain, fever, shortness of breath, loss of appetite",0
"headache, muscle pain",1
"cough, headache",2
"dizziness, fatigue, loss of appetite, muscle pain, sore throat",0
"stomach ache, nausea, cough, chills, fatigue",1
"fatigue, fever, chills",0
"runny nose, nausea, loss of appetite, fever",1
"nausea, loss of appetite, stomach ache, fatigue, dizziness",1
"muscle pain, fatigue, sore throat, headache",0
"cough, runny nose, chills, stomach ache, muscle pain",2
"muscle pain, loss of appetite, stomach ache, fatigue",2
cough,1
"stomach ache, nausea, cough, muscle pain, loss of appetite",1
"fever, loss of appetite, sore throat, chills, runny nose",1
"stomach ache, chills, headache",0
"shortness of breath, headache",1
chills,0
nausea,0
"cough, loss of appetite, stomach ache, fatigue",2
"fever, loss of appetite",2
"dizziness, sore throat",0
"fatigue, dizziness",0
"fatigue, headache, dizziness, sore throat, shortness of breath",0
"muscle pain, shortness of breath, headache, fever",0
loss of appetite,2
"fatigue, sore throat",2
"fever, dizziness",1
"chills, muscle pain",2
"headache, sore throat",2
"fatigue, runny nose",0
headache,1
"dizziness, muscle pain, sore throat, shortness of breath, chills",0
fever,1
"dizziness, fatigue",2
"fever, headache",1
muscle pain,2
"sore throat, dizziness, muscle pain, chills, stomach ache",1
"chills, headache, sore throat, runny nose, nausea",2
"sore throat, loss of appetite, muscle pain",1
"runny nose, nausea, chills, loss of appetite",0
"sore throat, nausea, chills",2
"dizziness, nausea, loss of appetite, chills, fever",2
"dizziness, fatigue",1
fatigue,0
"loss of appetite, chills, cough",0
"headache, fatigue, runny nose, muscle pain, cough",1
"runny nose, sore throat, shortness of breath, cough",0
"dizziness, headache, cough",2
"runny nose, headache, shortness of breath, fever",0
"cough, loss of appetite, headache, fatigue",0
"headache, muscle pain",1
"dizziness, runny nose, nausea",2
"fatigue, nausea, chills",1
"fever, dizziness, headache, nausea, muscle pain",0
"muscle pain, sore throat, headache, dizziness, stomach ache",1
cough,2
"fatigue, runny nose",1
runny nose,2
"dizziness, loss of appetite",1
"loss of appetite, cough, fatigue, dizziness, shortness of breath",1
"sore throat, cough, muscle pain, fever, runny nose",1
"loss of appetite, fatigue, fever",0
"stomach ache, dizziness, muscle pain",1
"fatigue, nausea, sore throat",0
"runny nose, muscle pain, shortness of breath, cough, fatigue",0
"fever, headache, loss of appetite, sore throat, shortness of breath",1
"nausea, fatigue, headache, cough, shortness of breath",2
"fever, sore throat",2
"fever, shortness of breath, nausea, loss of appetite, muscle pain",0
fatigue,1
"fever, runny nose, fatigue",2
